"id";"nome";"cidade";"latitude";"longitude";"cep";"endereco"
"211";"RECANTO DAS EMAS";"BRASILIA";"-15.9041";"-48.0683";"72610-321";"AVENIDA RECANTO DAS EMAS QUADRA 103 LOTES 3 E 4 S/N LOJA 1"
"212";"PLANALTINA DE GOIAS";"PLANALTINA";"-16.3449";"-48.9073";"73751-027";"QUADRA 02 MC S/N MC LT 6"
"213";"FRIBURGO";"NOVA FRIBURGO";"-22.2856";"-42.5316";"28613-000";"AV ALBERTO BRAUNE 124 LJ SL11/13"
"214";"UBATUBA";"UBATUBA";"-23.4336";"-45.0795";"11680-000";"RUA DONA MARIA ALVES 345"
"215";"PAULISTA PE";"PAULISTA";"-7.95255";"-34.8766";"53401-460";"AVENIDA MARECHAL FLORIANO PEIXOTO 77"
"216";"BOQUEIRAO";"CURITIBA";"-25.5185";"-49.2313";"81750-323";"RUA MAESTRO CARLOS FRANK 1351"
"217";"ANHANGUERA";"GOIANIA";"-16.6752";"-49.2802";"74040-010";"AVENIDA ANHANGUERA S/N QD58 LT129"
"218";"SHC PATIO MIX LINHARES";"LINHARES";"-20.7341";"-40.5373";"29906-014";"AVENIDA CEREJEIRAS 300 LUC 1113"
"219";"SIMOES FILHO";"SIMOES FILHO";"-12.7856";"-38.3947";"43700-000";"AVENIDA LUIS EDUARDO 66/86 LJ 2 LJ 1"
"221";"SHC DO VALE";"CACHOEIRINHA";"-29.9354";"-51.0799";"94950-001";"AV GEN FLORES DA CUNHA 4001 LJ 101"
"222";"SHC TERRACO";"BRASILIA";"-15.8039";"-47.9411";"70660-090";"SHC/AOS EQ 2/8 LOTE 05 LOJA SS-01 S/N"
"223";"SHC ALAMEDA";"JUIZ DE FORA";"-21.7763";"-43.3479";"36025-160";"RUA MORAIS E CASTRO 300 LOJA 220"
"224";"SHC JACAREI";"JACAREI";"-23.3039";"-45.9633";"12308-001";"RUA BARAO DE JACAREI 364 LOJA 46"
"225";"SILVA BUENO";"SAO PAULO";"-23.5982";"-46.6006";"04208-002";"RUA SILVA BUENO 2222 2232"
"226";"SHC MIDWAY MALL";"NATAL";"-5.81208";"-35.2067";"59015-450";"AVENIDA BERNARDO VIEIRA 3775 LJ ANC 108"
"227";"SHC BANGU";"RIO DE JANEIRO";"-22.8778";"-43.4656";"21820-005";"RUA FONSECA 240 LOJA 127E"
"228";"SHC BREITHAUPT";"JARAGUA DO SUL";"-26.48";"-49.0856";"89251-000";"AV GETULIO VARGAS 268 LJ 228"
"229";"SHC VALE SUL";"SAO JOSE DOS CAMPOS";"-23.2502";"-45.8858";"12230-000";"AVENIDA ANDROMEDA 227 SUC 112"
"230";"SHC RESENDE";"RESENDE";"-22.4667";"-44.4516";"27511-300";"AV SATURNINO BRAGA 369 LOJA 117"
"231";"SHC JARDIM SUL";"SAO PAULO";"-23.631";"-46.7353";"05724-003";"AV GIOVANNI GRONCHI 5819 122B/C 123"
"232";"SHC ARAGUAIA";"GOIANIA";"-16.662";"-49.257";"74063-010";"RUA 44 399 LJ ANC 4"
"233";"SHC CANOAS";"CANOAS";"-29.9091";"-51.1817";"92310-001";"AV GUILHERME SHELL 6750 LJ ANC 06"
"234";"SHC SANTA URSULA";"RIBEIRAO PRETO";"-21.1835";"-47.8097";"14010-160";"RUA SAO JOSE 933 LJ 315/330"
"235";"SHC TOTAL CURITIBA";"CURITIBA";"-25.4793";"-49.2945";"81070-150";"RUA ITACOLOMI 292 LJ 237"
"236";"SHC BOULEVARD CAMPINA GRANDE";"CAMPINA GRANDE";"-7.25267";"-35.8349";"58104-170";"AV PREFEIRO SEVERINO BEZERRA CABRAL 1190   LJ 143"
"238";"SHC BUTANTA";"SAO PAULO";"-23.5856";"-46.7245";"05512-300";"AVENIDA PROFESSOR FRANCISCO MORATO 2718  LJ 201"
"239";"SHC TAMBORE";"BARUERI";"-23.5053";"-46.8327";"06460-030";"AVENIDA PIRACEMA 669 LJ ANC G"
"240";"SHC PATIO BRASIL";"BRASILIA";"-15.7955";"-47.8923";"70307-902";"ST COML SUL QDA 07 BL A LOJA 03 S PRIMEIRO SUBSOLO S/N"
"241";"SHC FAROL";"TUBARAO";"-28.4749";"-48.9939";"88701-001";"AV MARCOLINO MARTINS CABRAL 2525 LJ A 2"
"242";"SHC SP MARKET";"SAO PAULO";"-23.6785";"-46.697";"04795-000";"AV DAS NACOES UNIDAS 22540  LJ R425"
"243";"SHC CASA FORTE";"RECIFE";"-8.03655";"-34.913";"52060-904";"RUA DR JOAO SANTOS FILHO  255 LJ 053-SS"
"244";"SHC AGUAS CLARAS";"BRASILIA";"-15.8423";"-48.0244";"71936-250";"AV DAS ARAUCARIAS LTS 1835 1905 1955 E 2005 LJS 200A 200B E S/N"
"245";"SHC VALE DO ACO";"IPATINGA";"-19.495";"-42.5644";"35160-290";"AV PEDRO LINHARES GOMES 3900 SV LUC 88"
"246";"SHC GUARULHOS";"GUARULHOS";"-23.4901";"-46.5485";"07034-911";"RODOVIA PRESIDENTE DUTRA KM 230 S/N LJ B 06"
"247";"SHC CARUARU";"CARUARU";"-8.2699";"-35.9854";"55024-740";"RUA  ADJAR DA SILVA CASE 800 LJ N 300"
"248";"SHC ROYAL PLAZA";"LONDRINA";"-23.3114";"-51.1565";"86010-180";"RUA MATO GROSSO 310 LJ ANC 333"
"249";"SHC POÇOS DE CALDAS";"POCOS DE CALDAS";"-21.7743";"-46.6026";"37704-369";"AV SILVIO MONTEIRO DOS SANTOS 180 LJ 120"
"250";"SHC FEIRA DE SANTANA";"FEIRA DE SANTANA";"-12.2415";"-38.9472";"44037-010";"AVENIDA JOAO DURVAL CARNEIRO, SHOPPING CENTER IGUATEMI 3665 LJ 179 B"
"251";"ANAPOLIS";"ANAPOLIS";"-16.325";"-48.9565";"75120-120";"RUA ENGENHEIRO PORTELA 45"
"252";"SHC CONQUISTA SUL";"VITORIA DA CONQUISTA";"-14.8897";"-40.8448";"45023-490";"AVENIDA JURACY MAGALHAES 3340 QD 7 LJANC"
"253";"SHC SAO LUIS";"SAO LUIS";"-2.5106";"-44.2854";"65076-820";"AV PROF CARLOS CUNHA 1000 L 158/171"
"254";"BACABAL";"BACABAL";"-4.2353";"-44.783";"65700-000";"RUA GETULIO VARGAS 364"
"255";"SHC SOBRADINHO";"BRASILIA";"-15.6507";"-47.7842";"73050-140";"QD 14 AREAS ESPECIAIS 3 E 4 LJS N 69 E 70 TERREO S/N"
"256";"SHC ITAU POWER";"CONTAGEM";"-19.9475";"-44.0226";"32210-110";"AV GENERAL DAVID SARNOFF 5160 LJ 237"
"257";"SHC 3 AMERICAS";"CUIABA";"-15.5773";"-56.0342";"78060-601";"AVENIDA BRASILIA 146 LJ 309/363"
"258";"MADUREIRA SHOPPING";"RIO DE JANEIRO";"-22.8705";"-43.3418";"21351-050";"EST DO PORTELA 222 LJ302 3 PV"
"259";"SHC NATAL";"NATAL";"-5.82109";"-35.2081";"59064-900";"AV SENADOR SALGADO FILHO 2234 LJ 310"
"260";"SHC SANTO ANDRE";"SANTO ANDRE";"-23.659";"-46.5292";"09020-901";"RUA ALVARES DE AZEVEDO 99 LJ 5 A 20"
"261";"SHC BURITIS GUARA";"GUARATINGUETA";"-22.8164";"-45.1925";"12505-300";"AV JUSCELINO KUBITSCHEK DE OLIVEIRA 351 LJ 34/35"
"262";"SHC TABOAO DA SERRA";"TABOAO DA SERRA";"-23.6153";"-46.7775";"06768-200";"ROD REGIS BITTENCOURT KM 271,5 SN LJ 95 A"
"263";"SHC AVENIDA";"DOURADOS";"-22.2262";"-54.7939";"79830-000";"AVENIDA MARCELINO PIRES 3600 LOJA A 10"
"264";"SHC SUZANO";"SUZANO";"-23.6976";"-46.6386";"08673-020";"RUA SETE DE SETEMBRO 555 LJ 50/51"
"265";"SHC ALAMEDA TAGUATINGA";"BRASILIA";"-15.8362";"-48.0569";"70015-525";"CSB 02 LOTES 01/04 LOJAS S-01 A S-07 PISO SUBSOLO ALAMEDA SH S/N"
"266";"SHC PRAIA SHOPP NATAL";"NATAL";"-5.86091";"-35.192";"59082-400";"AV ENGENHEIRO ROBERTO FREIRE 8790 J31 32 33"
"267";"SHC CRICIUMA";"CRICIUMA";"-28.68";"-49.3494";"88815-060";"AV GABRIEL ZANETTE 1455 SL 42 A 49"
"268";"SHC BARREIRO";"BELO HORIZONTE";"-19.9743";"-44.0209";"30640-070";"AVENIDA AFONSO VAZ DE MELO 640 LJ246/247"
"269";"MARECHAL FLORIANO";"CURITIBA";"-25.4334";"-49.2709";"80010-130";"AV MARECHAL FLORIANO PEIXOTO 306 LJ 1 A 8"
"270";"SHC MARACANAU";"MARACANAU";"-3.87946";"-38.6216";"61900-010";"AV SENADOR CARLOS JEREISSATI 100 P1 106/107"
"271";"FEIRA DE SANTANA";"FEIRA DE SANTANA";"-12.2542";"-38.9653";"44010-231";"AVENIDA SENHOR DOS PASSOS 942"
"272";"SHC TAUBATE";"TAUBATE";"-23.026";"-45.5804";"12040-900";"AVENIDA CHARLES SCHNNEIDER 1700 LUCS 21/22"
"273";"SCH BOULEVARD TROPICAL SAO LUI";"SAO LUIS";"-2.50694";"-44.2848";"65076-820";"AVE CORONEL COLARES MOREIRA 400 LOJA ANCOR"
"274";"SHC PATIO DIVINOPOLIS";"DIVINOPOLIS";"-20.1282";"-44.8821";"35504-999";"RUA MOACIR JOSE LEITE 100 LJS A/182"
"275";"SHC PATIO AGUA FRIA";"FORTALEZA";"-3.7894";"-38.4806";"60830-641";"AV WASHINGTON SOARES 3690 LJ 05"
"276";"SHC PRACA";"SAO JOSE DO RIO PRET";"-20.8117";"-49.3812";"15015-300";"RUA BERNADINO DE CAMPOS 2932 2934/2940"
"277";"SHC MAUA PLAZA";"MAUA";"-23.6661";"-46.4599";"09310-000";"AVENIDA GOVERNADOR MARIO COVAS JUNIOR 1 LJ 07"
"278";"SHC TERESOPOLIS";"TERESOPOLIS";"-22.7228";"-43.4719";"25953-030";"RUA EDMUNDO BITTENCOURT 101 LJ205/211"
"279";"SHC PÁTIO LIMEIRA";"LIMEIRA";"-22.57";"-47.4073";"13480-013";"RUA CARLOS GOMES 1321 LUC 201 P1"
"280";"SHC CARIRI";"JUAZEIRO DO NORTE";"-7.22181";"-39.3256";"63041-140";"AV PADRE CICERO 2555 LJ 110/114"
"281";"TRES RIOS";"TRÊS RIOS";"-22.1168";"-43.211";"25804-010";"RUA BARAO DO RIO BRANCO 173 LJ08/09/10"
"282";"SHC IT CENTER";"BELEM";"-1.41734";"-48.4787";"66120-000";"AV SENADOR LEMOS 3153 LJ 269 P T"
"283";"SHC UBERABA";"UBERABA";"-19.7657";"-47.9516";"38050-000";"AVENIDA SANTA BEATRIZ DA SILVA 1501 LOJA 423"
"284";"SHC JOAO PESSOA";"PORTO ALEGRE";"-30.0459";"-51.2129";"90040-001";"AV JOAO PESSOA 1831 LOJA 218"
"285";"SHC PORTAL";"GOIANIA";"-16.6609";"-49.3248";"74450-010";"AV ANHANGUERA 14404 LJ 238/9"
"286";"SHC CAMBORIU";"BALNEARIO CAMBORIU";"-26.9887";"-48.6333";"88339-005";"AV SANTA CATARINA 01  LJ ANC 03"
"287";"SHC BRISAMAR";"SAO VICENTE";"-23.9673";"-46.3831";"11310-060";"RUA FREI GASPAR 365 SUC N 101"
"288";"SHC ANTARTICA PONTA GROSSA";"PONTA GROSSA";"-25.094";"-50.1578";"84010-120";"RUA CORONEL CLAUDIO 215 LJ 02 SLJ"
"289";"SHC PARQUE SANTANA";"SAO PAULO";"-23.4832";"-46.6457";"02430-001";"AV CONSELHEIRO MOREIRA DE BARROS 2780 LJ 1011"
"290";"SHC ROYAL PLAZA STA MARIA";"SANTA MARIA";"-29.6894";"-53.795";"97050-531";"AV NOSSA SENHORA DAS DORES 305 UNID 201"
"291";"SHC MOSSORO WEST";"MOSSORO";"-5.18042";"-37.3632";"59607-330";"RUA JOAO DA ESCOSSIA 1515 LJ 36 1515 PISO TERRE"
"292";"SHC CATARATAS";"FOZ DO IGUACU";"-25.5329";"-54.5743";"85863-000";"AV COSTA E SILVA 185 LJ 123"
"293";"SHC GV";"GOVERNADOR VALADARES";"-18.8477";"-41.94";"35010-171";"RUA SETE DE SETEMBRO 1213 LOJA ANC"
"294";"SHC INDEPENDENCIA";"JUIZ DE FORA";"-21.7811";"-43.3609";"36025-290";"AV INDEPENDENCIA 3600"
"295";"SHC PAULINIA";"PAULINIA";"-22.772";"-47.1514";"13140-000";"AV DOUTOR JOSE LOZANO DE ARAUJO 1515 LJ ANC A"
"296";"SHC BAURU";"BAURU";"-22.3372";"-49.0539";"17011-900";"RUA HENRIQUE SAVI 15-55 UN 73"
"297";"SHC PLAZA AVENIDA";"SAO JOSE DO RIO PRET";"-20.8271";"-49.3874";"15085-350";"AVENIDA JOSE MUNIA 4775 LJ A12"
"298";"7 DE SETEMBRO";"MANAUS";"-3.13459";"-60.0198";"69005-141";"AVE 7 DE SETEMBRO 1199"
"299";"SHC PAMPULHA";"BELO HORIZONTE";"-19.8409";"-43.9674";"31710-000";"AVENIDA DOM PEDRO I 402 LJ S200"
"300";"GOVERNADOR VALADARES";"GOVERNADOR VALADARES";"-18.8553";"-41.9455";"35010-150";"AV  MINAS GERAIS 471"
"301";"SHC ITAPETININGA";"ITAPETININGA";"-23.5792";"-48.0381";"18200-358";"RUA DOUTOR COUTINHO 733 LUC 38/39"
"302";"XV DE NOVEMBRO";"SAO JOSE DOS CAMPOS";"-23.1837";"-45.8869";"12210-070";"RUA QUINZE DE NOVEMBRO 317"
"303";"CARIACICA";"CARIACICA";"-20.3422";"-40.3841";"29146-201";"AVENIDA EXPEDITO GARCIA 168"
"304";"SHC ALDEOTA";"FORTALEZA";"-3.73368";"-38.4963";"60160-230";"AVENIDA DOM LUIZ 500 LJ 325A"
"305";"SHC PALMAS";"PALMAS";"-10.1908";"-48.3349";"77015-004";"101 SUL RUA NS A S/N CJ 2 LT 10"
"306";"SHC RIO VERDE";"RIO VERDE";"-17.7893";"-50.9196";"75903-290";"AV PRESIDENTE VARGAS 1740 LJ 115"
"307";"NAZARE";"BELEM";"-1.45221";"-48.4823";"66035-170";"AVENIDA NAZARE 1175 ANEXO 1187"
"308";"GAVIAO PEIXOTO";"NITEROI";"-22.904";"-43.1098";"24030-091";"RUA GAVIAO PEIXOTO 171 LJ 105"
"310";"SHC RONDON PLAZA";"RONDONOPOLIS";"-16.4718";"-54.609";"78700-000";"AVENIDA LIONS INTERNACIONAL 1950 LJ 408/413"
"311";"JUAZEIRO DO NORTE";"JUAZEIRO DO NORTE";"-7.20482";"-39.308";"63010-070";"RUA  DO CRUZEIRO 135"
"312";"SHC BRASIL PARK";"ANAPOLIS";"-16.2876";"-48.9493";"75080-240";"AVENIDA BRASIL 505 ANCORA 2"
"313";"SHC GOIABEIRAS";"CUIABA";"-15.5892";"-56.1093";"78043-900";"AVENIDA LAVA PES 500 SUC-2-8"
"314";"MOGI DAS CRUZES";"MOGI DAS CRUZES";"-23.5213";"-46.1955";"08710-150";"RUA DOUTOR RICARDO VILELA 39 43"
"315";"MARILIA";"MARILIA";"-22.2182";"-49.9496";"17500-120";"RUA NOVE DE JULHO 1138 R SAMPAIO"
"316";"BENEDITO PIRES";"SOROCABA";"-23.4998";"-47.4586";"18010-160";"RUA CORONEL BENEDITO PIRES 45"
"317";"SHC MONTES CLAROS";"MONTES CLAROS";"-16.74";"-43.8709";"39400-546";"AV. DONATO QUINTINO 90 LC 117"
"318";"SHC MACAE";"MACAE";"-22.3912";"-41.8089";"27930-560";"RUA ALOISIO DA SILVA GOMES 800 LJ 139 TER"
"320";"SHC AQUARIUS";"MARILIA";"-22.1875";"-49.9678";"17507-280";"RUA DOS TUCUNARES 509 LJ A"
"321";"SHC PORTO VELHO";"PORTO VELHO";"-8.74704";"-63.8773";"78905-450";"AV RIO MADEIRA 3288 LJ ANC 212"
"322";"CARAGUATATUBA";"CARAGUATATUBA";"-23.6205";"-45.4127";"11660-100";"RUA SAO BENEDITO 53"
"323";"SHC PALLADIUM";"CURITIBA";"-25.478";"-49.2895";"81020-770";"RUA EDUARDO CARLOS PEREIRA 3604 LJ 1001"
"324";"GUARAPUAVA";"GUARAPUAVA";"-25.3932";"-51.469";"85010-010";"RUA GUAIRA 3370"
"325";"SAO LEOPOLDO";"SAO LEOPOLDO";"-29.7637";"-51.1463";"93010-002";"RUA INDEPENDENCIA 455"
"326";"SHC COSTA DOURADA";"CABO DE SANTO AGOSTI";"-8.30539";"-35.0222";"54520-600";"RODOVIA PE 060 3200 LJ 112"
"327";"SHC VIA SUL";"FORTALEZA";"-3.79514";"-38.4799";"60833-005";"AV WASHINGTON SOARES 4335 200"
"328";"TERESINA";"TERESINA";"-5.09119";"-42.8108";"64001-120";"RUA PAISANDU 955 971SEN TEO"
"329";"SHC CIDADE MACEIO";"MACEIO";"-9.6446";"-35.7346";"57055-000";"AV FERNANDES LIMA 679 LJ ANC 1"
"330";"SHC PATIO CENTRAL";"PATOS DE MINAS";"-18.5862";"-46.5135";"38700-022";"PRACA ALEXINA CANDIDA CONCEICAO 05 LUC 3"
"331";"SHC IDEAL";"SÃO JOSÉ";"-27.5564";"-48.6222";"88113-260";"RUA ADAO MANOEL DA SILVA 584 LUC/ANCORA"
"332";"SHC PLANET";"LONDRINA";"-23.2593";"-51.1581";"86082-000";"AV SAUL ELKIND 2101 QD01LUC173"
"333";"CRATO";"CRATO";"-7.23123";"-39.4118";"63100-040";"RUA SANTOS DUMONT 60"
"334";"ITABORAÍ";"ITABORAÍ";"-22.7458";"-42.8548";"24800-097";"AV VINTE E DOIS DE MAIO 5973 LJ BKM29,5"
"335";"SHC MAG";"JOAO PESSOA";"-7.09721";"-34.8344";"58037-000";"AV GOVERNADOR FLAVIO RIBEIRO COUTINHO 115 LJ 36"
"336";"SANTO ANTONIO DE JESUS";"SANTO ANTONIO DE JES";"-12.956";"-39.2673";"44572-055";"PRACA FELIX GASPAR 53"
"337";"GAMA";"BRASILIA";"-16.0263";"-48.0678";"72404-000";"SCC LTS 01,05 E 06 PISO TERREO ( LJS 01 E 02 MOD. E) E SL 01 S/N"
"338";"SHC VALINHOS";"VALINHOS";"-22.9845";"-47.0157";"13271-570";"RUA LUIZ SPIANDORELLI NETO (LULA) 161 LJ 53/54"
"339";"SHC GARDEN CATANDUVA";"CATANDUVA";"-21.1266";"-48.9775";"15800-200";"AVENIDA ENGENHEIRO JOSE NELSON MACHADO 280 LJ A 41"
"340";"SHC MILLENNIUM";"MANAUS";"-3.08902";"-60.024";"69050-010";"AVE DJALMA BATISTA 1661 LJ 256/257"
"341";"MONTESE";"FORTALEZA";"-3.76521";"-38.5488";"60410-001";"AV PROFESSOR GOMES DE MATOS 1703"
"342";"SHC ESTACAO NATAL";"NATAL";"-5.75296";"-35.2361";"59120-555";"AV DR JOAO MEDEIROS FILHO 2300 LOJA 39 2P"
"343";"SOBRAL";"SOBRAL";"-3.68849";"-40.3513";"62011-050";"RUA CEL ERNESTO DEOCLECIANO 640"
"344";"SHC SAO JOSE";"SAO JOSE DOS PINHAIS";"-25.5374";"-49.2045";"83005-010";"RUA IZABEL A REDENTORA 1434 LUC 119 TE"
"345";"GUARUJA";"GUARUJA";"-23.9943";"-46.2571";"11410-000";"RUA PUGLISI 276 TERREO"
"346";"SHC VALPARAISO";"VALPARAISO DE GOIAS";"-16.079";"-47.9859";"72876-902";"LOC QUADRA 01 S/N GLEBA F"
"347";"BARREIRAS";"BARREIRAS";"-12.1507";"-44.9939";"47803-070";"RUA PRINCESA ISABEL 361 TERREO SLJ"
"348";"SAMAMBAIA";"BRASILIA";"-15.8714";"-48.0638";"72308-702";"QN 318 CONJ. 02 LOTE N(o) 01 S/N"
"349";"SHC PLAZA IMIGRANTE";"ERECHIM";"-27.6326";"-52.2748";"99700-000";"AV MAURICIO CARDOSO 230 LJ 101"
"350";"LAURO DE FREITAS";"LAURO DE FREITAS";"-12.9012";"-38.3477";"42700-000";"AVENIDA SANTOS DUMONT 6008"
"351";"MURIAE";"MURIAE";"-21.1325";"-42.3658";"36880-000";"RUA DR. ALVES PEQUENO 234 LJ 01/ SLJ"
"352";"TEIXEIRA DE FREITAS";"TEIXEIRA DE FREITAS";"-17.5389";"-39.7443";"45995-041";"AV MARECHAL CASTELO BRANCO 358 358 FUNDOS"
"353";"SHC UBERLANDIA 2";"UBERLANDIA";"-18.9113";"-48.2624";"38408-902";"AV JOAO NAVES DE AVILA 1331 LJ05"
"354";"SHC FLORIPA";"FLORIANOPOLIS";"-27.5545";"-48.4974";"88032-000";"RODOVIA VIRGILIO VARZEA  587 LJ 111"
"355";"SHC PARK SORRISO";"SORRISO";"-12.551";"-55.7194";"78890-000";"AVENIDA TANCREDO NEVES 543 SL 10/11"
"356";"SHC JAU";"JAU";"-22.2978";"-48.5462";"17210-110";"AVENIDA DR QUINZINHO 511 TER LJ 01"
"357";"C.GRANDE XIV JULHO";"CAMPO GRANDE";"-20.4653";"-54.6169";"79002-330";"RUA QUATORZE DE JULHO 1781"
"359";"RUI BARBOSA - MACAE";"MACAE";"-22.3719";"-41.7783";"27910-361";"AV. RUI BARBOSA 253 TER.2/3PAV"
"360";"VARZEA GRANDE";"VARZEA GRANDE";"-15.6481";"-56.1383";"78110-400";"AVENIDA COUTO MAGALHAES 2056"
"361";"COHAMA";"SAO LUIS";"-2.52285";"-44.2492";"65074-115";"AVE DANIEL DE LA TOUCHE 2000"
"362";"SHC PATIO DOM LUIZ";"FORTALEZA";"-3.73557";"-38.4905";"60160-230";"AV DOM LUIZ 1200 LJ 201/202"
"364";"SHC AUTOMOVEL";"SAO LUIS";"-2.49071";"-44.2615";"65071-380";"AV DOS HOLANDESES 1 QD36 LJ 11"
"365";"EUNÁPOLIS";"EUNÁPOLIS";"-16.3724";"-39.5777";"45820-006";"AV PORTO SEGURO 615 TERREO"
"366";"MARKET PLAZA";"ANANINDEUA";"-1.36572";"-48.365";"67015-220";"RODOVIA BR 316 141 A KM 03"
"367";"SHC CATALAO";"CATALAO";"-18.1724";"-47.9273";"75709-140";"AV JOCELIM GOMES PIRES 2300 LOJA 30"
"368";"CASTANHAL";"CASTANHAL";"-1.29513";"-47.9268";"68740-010";"RUA SENADOR ANTONIO LEMOS 450"
"369";"SHC PATIO MIX";"ITAGUAI";"-22.8668";"-43.7502";"23812-101";"RODOVIA RIO SANTOS S/N 1041"
"370";"SHC SALVADOR SHOPPING";"SALVADOR";"-12.976";"-38.4577";"41820-910";"AV TANCREDO NEVES 3133 PISO L1"
"371";"SHC VIA VERDE";"RIO BRANCO";"-9.97083";"-67.8121";"69914-220";"BR 364 VIA VERDE - SHOPPING 1707 LOJA 041"
"372";"CENTRO COMERCIAL IBITURUNA";"MONTES CLAROS";"-16.7263";"-43.8814";"39401-832";"AVENIDA DOUTOR JOSE CORREIA MACHADO 1079 LOJA 83"
"373";"SHC DIFUSORA";"CARUARU";"-8.28087";"-35.9739";"55012-290";"AV AGAMENON MAGALHAES 444 LOJA 31"
"374";"SHC PÁTIO LAGOA";"SETE LAGOAS";"-19.4588";"-44.2441";"35700-004";"RUA DOUTOR PEDRO LUIZ 255 LJ 45 2(o) P"
"375";"SHC BOULEVARD BELEM";"BELEM";"-1.445";"-48.4889";"66053-000";"AV VISCONDE DE SOUZA FRANCO 776 LOJA 15"
"376";"SHC SAN PELEGRINO";"CAXIAS DO SUL";"-29.1717";"-51.1908";"95010-060";"AV RIO BRANCO 425 LOJA 310"
"377";"SHC CARONE MALL";"SERRA";"-20.1936";"-40.2668";"29167-080";"AV EUDES SCHERRER DE SOUZA 1996 LOJA 33"
"378";"SHC PRAIA CAMBORIU";"BALNEÁRIO CAMBORIU";"-26.9886";"-48.6335";"88330-053";"AV. BRASIL 1670 LOJA 101"
"379";"ARAPIRACA";"ARAPIRACA";"-9.74819";"-36.6598";"57300-340";"R QUINZE DE NOVEMBRO 67"
"380";"CAMPOS";"CAMPOS DOS GOYTACAZE";"-21.7595";"-41.3317";"28035-260";"RUA VOLUNTARIOS DA PATRIA 400"
"381";"PLANALTINA";"BRASILIA";"-15.6187";"-47.6513";"73310-200";"SHD PROJECAO N 1 ANDAR S/N"
"382";"SHC ANASHOPP";"ANAPOLIS";"-16.3021";"-48.9476";"75083-350";"AV UNIVERSITARIA 2221"
"383";"RIO CLARO";"RIO CLARO";"-22.4104";"-47.5609";"13500-170";"RUA 04 1129"
"384";"SHC PORTAL SUL";"GOIANIA";"-16.77";"-49.3518";"74354-535";"ROD GO 40 S/N QD AREA LT"
"385";"RUI BARBOSA";"JUIZ DE FORA";"-21.7428";"-43.3632";"36045-410";"AVENIDA RUI BARBOSA  468 NA470 LJ02"
"387";"SHC SUL ES";"CACHOEIRO DE ITAPEMI";"-20.853";"-41.1156";"29303-384";"AV GO FRANCISCO LACERDA DE AGUIAR 138 LJ 325"
"388";"SHC NOVO OSASCO";"OSASCO";"-23.5417";"-46.7665";"06020-010";"AVENIDA DOS AUTONOMISTAS 1400 LJ ANC J"
"389";"BEZERRA DE MENEZES";"FORTALEZA";"-3.73331";"-38.5526";"60325-003";"AV BEZERRA DE MENEZES 871 A"
"390";"SHC JARAGUA INDAIATUBA";"INDAIATUBA";"-23.0841";"-47.2135";"13330-070";"RUA QUINZE DE NOVEMBRO 1200 SUC N 49"
"391";"CEILÂNDIA QNM 12";"BRASILIA";"-15.8129";"-48.1055";"72210-120";"QNM 12, (VIA NM 12-A) LOTE 14 E QNM 12 (VIA CNM-02) LOTE 13 S/N"
"392";"SHC CAJAZEIRAS";"CAJAZEIRAS";"-6.88675";"-38.5486";"58900-000";"RUA COMANDANTE VITAL ROLIM 989 LJ 01- TER"
"393";"SHC PRAÇA DA MOÇA";"DIADEMA";"-23.6914";"-46.6238";"09910-720";"RUA MANOEL DA NOBREGA 712 LOJA 101"
"394";"PRACA RUI BARBOSA";"BAURU";"-22.3229";"-49.0709";"17010-200";"RUA GUSTAVO MACIEL 54"
"395";"SHC PLAZA MANAUS";"MANAUS";"-3.095";"-60.024";"69050-010";"AVE DJALMA BATISTA 2100 LOJA A2"
"396";"SHC NORTH SHOPP BARRETOS";"BARRETOS";"-20.5682";"-48.5647";"14784-200";"VIA CONSELHEIRO ANTONIO PRADO 1400 SUC N ANCO"
"397";"SHC PATIO ARAPIRACA";"ARAPIRACA";"-9.73596";"-36.655";"57311-250";"VICENTE NUNES DE ALBUQUERQUE S/N LOJA ANCOR"
"398";"SHC RIO ANIL";"SAO LUIS";"-2.53515";"-44.2262";"65065-470";"AV SAO LUIZ REI  DE FRANCA 8 LJ 1033"
"399";"ITAPETINGA";"ITAPETINGA";"-15.2461";"-40.252";"45700-000";"RUA POMPILIO ESPINHEIRA SN"
"402";"ALAGOINHAS";"ALAGOINHAS";"-12.1394";"-38.423";"48005-430";"RUA TREZE DE MAIO 107"
"403";"PEDREIRA";"BELEM";"-1.42411";"-48.4696";"66085-023";"AVENIDA PEDRO MIRANDA 1701"
"404";"SHC SALVADOR NORTE";"SALVADOR";"-12.9135";"-38.3515";"41510-000";"RODOVIA BA - 526 305 SL CM 1036"
"405";"24 DE OUTUBRO";"GOIANIA";"-16.6674";"-49.296";"74505-010";"AVE 24 DE OUTUBRO 934 Q 50 LOTE6"
"406";"JEQUIE";"JEQUIE";"-13.8663";"-39.8602";"45200-400";"RUA DEZ DE NOVEMBRO 4"
"407";"MOSSORO";"MOSSORO";"-5.20891";"-37.3554";"59600-195";"AV ALBERTO MARANHAO 1359"
"408";"SHC CENTRO NORTE";"APUCARANA";"-23.5522";"-51.4644";"86800-680";"PRACA INTERVENTOR MANOEL RIBAS 135"
"409";"NOVO GAMA";"NOVO GAMA";"-16.0548";"-48.0289";"72860-444";"LOC QUADRA 481 S/N QD 481 LT2"
